id; palavras_original; palavras_novo; unidades_medida_original; unidades_medida_novo; números_original; números_novo; cores_original; cores_novo; materiais_original; materiais_novo; tamanho_original; tamanho_novo; quantidade_original; quantidade_novo; descricao_original
115;calcador, holemback, duplo, produzir, dentro, norma, bpf, bom, pratica, fabricacao, garantia, ano, marca, gravado, instrumental, condicionar, individual, constar, dado, identificacao, procedencia;#;;#;1, 2;#;;#;aco, inoxidavel;#;;#;embalagem;#;CALCADOR HOLEMBACK DUPLO N 1 EM ACO INOXIDAVEL , PRODUZIDA DENTRO DAS NORMAS BPF (BOAS PRATICAS DE FABRICACAO), GARANTIA DE 2 ANOS, MARCA GRAVADA NO INSTRUMENTAL, CONDICIONADO EM EMBALAGEM INDIVIDUAL , CONSTANDO DADOS DE IDENTIFICACAO E PROCEDENCIA.
116;computador, desktop, basico, processador, minimo, intel, corar, i3, amd, a10, memoria, ram, gb, ddr3, mhz, disco, rigido, monitor, mouse, usb, dp, botao, scrool, fio, fonte, compativel, item, sistema, operacional, windows, pro, bfts, garantia, mes, teclado, abnt2, interface, rede, wifi, video, integrar, otico, cd, dvd, rom;#;;#;4, 1600, 500, 18, 5, 1366, 768, 2, 7, 64, 12, 10, 100, 1000;#;;#;;#;;#;unidade;#;Computador, (desktop-básico), processador no mínimo intel core i3 ou AMD A10, memória RAM, 4GB//DDR3, 1600MHZ, disco rígido mínimo de 500GB, tipo de monitor 18/5(1366x768), mouse USB/500 DP, 2 botões, scrool (com fio) fonte compatível com o item, sistema operacional Windows 7 PRO/(64 BFTS) garantia mínimo de 12 meses, teclado USB, ABNT2, 10/teclado(com fio), interfaces de rede 10/100/1000 e WIFI, interfaces de video integrada, unidade de disco ótico CD/DVD ROM
117;lenco, umedecer;#;;#;;#;;#;;#;;#;;#;LENCOS UMEDECIDOS
118;papel, higienico, fardo, rolo, rolosde, folha, dupla, classe, alvura, iso, indice, maciez, igual, maior, nm, resistencia, tracao, ponderar, pinta, tempo, absorcao, agua, materia, primo, fibra, vegetal, comprimento, dorolo, tolerancia, largura, diametro, maximo, tubete, interno, acabamento, gofrar, picotar, neutro;#;m, g, mm2, m2, cm;#;6, 4, 60, 2, 70, 80, 5, 90, 20, 100, 10, 11, 7;#;branco;#;;#;;#;;#;PAPEL HIGIENICO(FARDO C/6 4 ROLOS). PAPEL HIGIENICO (FARDO C/6 4 ROLOSDE 60 M)-folha dupla  classe 02  na cor branca  alvura iso entre 70 - 80%  indice de maciez igual ou maior que 5,5 nm/g  resistencia a tracao ponderada igual ou maior que 90 n/m  quantidade de pintas igual ou maior que 20 mm2/m2  tempo de absorcao de agua igual ou maior que 5 s  materia prima 100% fibra vegetal  comprimento dorolo 60 m - com tolerancia de 2%  com largura de 10 cm - com tolerancia de 2%  diametro no maximo 11,7 cm  largura do tubete 10 cm - com tolerancia de 2%  diametro interno do tubete maior que 4 cm  acabamento gofrado  picotado  neutra.
119;camiseta, cemab;#;;#;12;#;;#;;#;;#;;#;CAMISETA CEMAB - TAMANHO 12
120;confeccao, camiseta, camisa, gola, olimpico, manga, curtir, marinho, tecido, malha, pv, poliviscose, ramado, poliester, viscose, gramatura, bordado, frente, altura, peito, esquerdar, logotipo, samu, bordado, ponto, diametro, letra, descrever, parte, imediatamente, abaixar, circunferencia, laranja, conformar, padrao, estabelecer, ms, etiqueta, obrigatorio, maisetiquetas, criterio, fabricante, contender, minimo, seguinte, informacao, identificacao, nome, cnpj, composicao, instrucao, uso, lavar, secar, passar, etc, gg, haver, algum, funcionario, padrao, necessario, tirado, mesmo, antar;#;g, m, mm;#;67, 33, 145, 155, 70, 10, 192;#;azul, vermelho;#;;#;;#;;#;CONFECCAO DE CAMISETAS - Camisa de gola olimpica, manga curta, na cor azul marinho - Tecido em malha PV (Poliviscose), ramado, 67% poliester + 33%viscose, gramatura 145 a 155g/m . - Bordados: na frente na altura do peito esquerdo e na manga o logotipo do SAMU Bordado com 17500 pontos, com diametro de 70mm, e as letras descritas na parte imediatamente abaixo da circunferencia SAMU em laranja com 10mm e 192 em vermelho (conforme padrao estabelecidos pelo MS). - Etiqueta: E obrigatorio uma ou maisetiquetas (a criterio do fabricante) contendo no minimo as seguintes informacoes: Identificacao do fabricante (minimo: nome e CNPJ)  Composicao do tecido  Identificacao do tamanho da camisa e Instrucoes de Uso (lavar, secar e passar etc...). Tamanhos: GG. Por haver alguns funcionarios com tamanhos muito fora dos padroes e necessario que sejam tiradas medidas dos mesmos antes da confeccao.
121;rec, toner, impres, m2885, fw;#;;#;;#;;#;;#;;#;;#;REC. TONER IMPRES. M2885 FW
122;coletor, perfurar, cortante, lts;#;;#;7;#;;#;;#;;#;;#;COLETOR DE PERFURO CORTANTE 7 LTS 106501
123;coletor, perfurar, cortante, lt;#;;#;7, 10;#;;#;;#;;#;un;#;COLETOR DE MATERIAL PERFURO-CORTANTE 7 LT (10 UN)  - 730010027
124;refletor, led, ip65, biv;#;;#;20;#;;#;;#;;#;;#;REFLETOR LED 20W IP65 BIV
125;ige, especificar, rhizopus, nigricans, m11;#;;#;;#;;#;;#;;#;;#;IGE ESPECIFICO PARA RHIZOPUS NIGRICANS- M11
126;blc, acompahamento, hiperdia;#;;#;;#;;#;;#;;#;;#;BLC. ACOMPAHAMENTO HIPERDIA
127;medroxiprog, acet, amp;#;mg, ml;#;150;#;;#;;#;;#;;#;MEDROXIPROG.ACET.150MG/ML/AMP
128;catgut, simp, ag, shalon;#;cm;#;3, 0, 4, 24;#;;#;;#;;#;;#;CATGUT SIMP 3 - 0 C/ AG 4CM C/ 24 SHALON
129;esfignomanometro, velcro, abr, obeso;#;cm;#;68;#;;#;;#;;#;;#;013694 ESFIGNOMANOMETRO  VELCRO ABR. OBESA 68CM
130;ecodopler, color, vascular, venoso, seg;#;;#;1;#;;#;;#;;#;;#;Ecodopler Color Vascular Venoso 1 Seg
131;clips, niquelar, grs;#;;#;3, 0, 500;#;;#;;#;;#;;#;CLIPS NIQUELADO N 3/0 500 GRS.
132;gelco, no16;#;;#;;#;;#;;#;;#;;#;Gelco no16
133;esomeprasol;#;mg;#;40;#;;#;;#;;#;;#;ESOMEPRASOL 40MG...
134;providine, degermante, aquoso, lt;#;;#;10, 1;#;;#;;#;;#;un;#;PROVIDINE DEGERMANTE 10  AQUOSO 1LT   UN 514012
135;wireless, nanar, station, ghz;#;;#;5, 8;#;;#;;#;;#;;#;WIRELESS NANO STATION 5.8  GHZ
136;prest, serv, seg, veic, qox;#;;#;612;#;;#;;#;;#;;#;PREST.SERV.SEG.VEIC. QOX-0612
137;colagenaze, cloranf;#;g;#;0, 6, 1;#;;#;;#;;#;;#;COLAGENAZE+CLORANF. 0,6/0,01G
138;antitranspirante;#;;#;;#;;#;;#;;#;;#;ANTITRANSPIRANTE
139;descartador, coletor, perfurar, cortante, itros;#;;#;127, 0005, 13;#;;#;;#;;#;;#;0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001270005 DESCARTADOR-COLETOR PERFURO/CORTANTE 13ITROS
140;maxicut, edenta;#;;#;1507, 1506;#;;#;;#;;#;;#;MAXICUT 1507 - EDENTA 1506
141;coletor, perfurar, cortante, dup, trav;#;l;#;6829, 13;#;;#;;#;;#;;#;006829 COLETOR  PERFURO CORTANTE DUP. TRAV 13L
142;coletor, perfurocortante;#;litro;#;13;#;;#;;#;;#;;#;20988 - COLETOR DE MATERIAL PERFUROCORTANTE - CAPACIDADE : 13 LITROS
143;clonazepan;#;mg;#;0, 5;#;;#;;#;;#;;#;CLONAZEPAN 0,5 MG
144;nobreak, microprocessado;#;;#;;#;;#;;#;;#;;#;NOBREAK, MICROPROCESSADO,
145;sae, api, gl;#;;#;80, 90, 3;#;;#;;#;;#;;#;SAE 80w90 - API GL-3.
146;aussie, sport;#;;#;;#;;#;;#;;#;;#;Aussie Sport
147;micropore;#;;#;25, 10;#;;#;;#;;#;;#;MICROPORE 25X10
148;coletor, mat, perf, lts;#;;#;13;#;;#;;#;;#;;#;COLETOR DE MAT. PERF. 13 LTS.
149;req, mat, serv, f18, autocop;#;;#;50, 2;#;;#;;#;;#;;#;REQ MAT/SERV. F18 50X2 AUTOCOP
150;ige, especificar, phadiatop, alergenos, inalante;#;;#;;#;;#;;#;;#;;#;IGE ESPECIFICO (PHADIATOP) ALERGENOS INALANTES
